"","PID","upid","regions"
"692","0203090002",1,"Charlestown"
"693","0203091002",1,"Charlestown"
"694","0203097002",1,"Charlestown"
"695","0203101002",1,"Charlestown"
"696","0203109002",1,"Charlestown"
"697","0203110002",1,"Charlestown"
"698","0203111002",1,"Charlestown"
"699","0203130002",1,"Charlestown"
"700","0203140002",1,"Charlestown"
"701","0203141002",1,"Charlestown"
"702","0203144002",1,"Charlestown"
"703","0203146002",1,"Charlestown"
"704","0203146004",1,"Charlestown"
"705","0203149012",1,"Charlestown"
"706","0203150002",1,"Charlestown"
"707","0203156002",1,"Charlestown"
"708","0203163002",1,"Charlestown"
"709","0203164002",1,"Charlestown"
"710","0203169002",1,"Charlestown"
"711","0203172002",1,"Charlestown"
"712","0203177002",1,"Charlestown"
"713","0203180002",1,"Charlestown"
"714","0203181002",1,"Charlestown"
"715","0203182002",1,"Charlestown"
"716","0203186002",1,"Charlestown"
"717","0203186004",1,"Charlestown"
"718","0203186008",1,"Charlestown"
"719","0203187002",1,"Charlestown"
"720","0203188002",1,"Charlestown"
"721","0203193002",1,"Charlestown"
"722","0203200002",1,"Charlestown"
"723","0203201002",1,"Charlestown"
"724","0203207002",1,"Charlestown"
"725","0203208002",1,"Charlestown"
"726","0203216002",1,"Charlestown"
"727","0203217002",1,"Charlestown"
"728","0203228002",1,"Charlestown"
"729","0203231002",1,"Charlestown"
"730","0203239002",1,"Charlestown"
"731","0203239008",1,"Charlestown"
"732","0203243002",1,"Charlestown"
"733","0203264002",1,"Charlestown"
"734","0203266002",1,"Charlestown"
"735","0203266006",1,"Charlestown"
"736","0203270002",1,"Charlestown"
"737","0203273005",1,"Charlestown"
"738","0203275002",1,"Charlestown"
"739","0203276002",1,"Charlestown"
"740","0203277002",1,"Charlestown"
"741","0203277004",1,"Charlestown"
"742","0203281002",1,"Charlestown"
"743","0203302002",1,"Charlestown"
"744","0203305006",1,"Charlestown"
"745","0203306002",1,"Charlestown"
"746","0203307002",1,"Charlestown"
"747","0203312002",1,"Charlestown"
"748","0203312008",1,"Charlestown"
"749","0203330002",1,"Charlestown"
"750","0203333004",1,"Charlestown"
"751","0203335002",1,"Charlestown"
"752","0203344002",1,"Charlestown"
"753","0203347002",1,"Charlestown"
"754","0203356012",1,"Charlestown"
"755","0203358010",1,"Charlestown"
"756","0203365002",1,"Charlestown"
"757","0203368002",1,"Charlestown"
"758","0203370002",1,"Charlestown"
"759","0203375002",1,"Charlestown"
"760","0203381002",1,"Charlestown"
"761","0203385012",1,"Charlestown"
"762","0203386002",1,"Charlestown"
"763","0203387002",1,"Charlestown"
"764","0203388002",1,"Charlestown"
"765","0203389002",1,"Charlestown"
"766","0203390060",1,"Charlestown"
"767","0203393002",1,"Charlestown"
"768","0203402002",1,"Charlestown"
"769","0203403002",1,"Charlestown"
"770","0203405004",1,"Charlestown"
"771","0203414002",1,"Charlestown"
"772","0203463002",1,"Charlestown"
"773","0203464002",1,"Charlestown"
"774","0203478002",1,"Charlestown"
"775","0203479002",1,"Charlestown"
"776","0203481002",1,"Charlestown"
"777","0203496002",1,"Charlestown"
"778","0203505104",1,"Charlestown"
"779","0203506032",1,"Charlestown"
"780","0203510186",1,"Charlestown"
"781","0203515602",1,"Charlestown"
"782","0203515603",1,"Charlestown"
"783","0203515604",1,"Charlestown"
"784","0203515605",1,"Charlestown"
"785","0203515606",1,"Charlestown"
"786","0203515607",1,"Charlestown"
"787","0203515608",1,"Charlestown"
"788","0203515609",1,"Charlestown"
